Text,Label
"Пробовал оба варианта. Очень редко можно натолкнуться на ответ на английсом, если спрашивать на английском и просить ответить на русском, следующая же генерация мне выдавала ответ на русском. По качеству для повседневности +/- одинаково, а под свою область стоит проверять лично.",False
И такая ерунда каждый понедельник 4го.,False
"Мб, напоминает?",False
Инженера укусил дизайнер.,False
Сочту за комплимент Ж),False
"Может разнообразие цветов немного уменьшу, издалека по-клоунски выглядит",False
"Мне кажется что это не самый удачный вариант, из-за обилия цветов. Некоторые тежело читать, когда белый текст на светлом градиенте. С цветами нужно быть аккуратным, ибо никогда не знаешь с какими особенностями придет человек: кто-то видит красный, кто-то нет. Мне кажется, диаграмма должна делать акцент на связах и содержимом, тексте, а тут яркость забирает всё внимание.",False
"Добрый день, набираю людей для сотрудничества, доход на разнице курса, кому интересно узнать подробней, пишите мне !)",False
"По поводу цветов согласен. В остальном - цель картинки - иллюстрация для статьи, основная инфа дана в статье (текстом), а картинка носит скорее развлекательный характер",False
"Зеленый для yes, красный для no — наверное уместно, ибо для многих привычно такое соотношение цвета к контексту. Но все остальное — странно.",False
Тогда может быть нормально. Но в документацию я бы такое не положил.,False
"К слову, сейчас писал про документацию и вспомнил. Markdown поддерживает диаграммы. Точнее, если его расширить. К примеру, так делает GitHub.",False
"В документацию я бы положил что-то вроде mermaidjs, либо drawio/excalidraw если это конфлюенс",False
"Ага, активно использовал на прошлой работе, там был гитлаб",False
"Умельцы даже C4 на mermaid делают, с импотрами и всем таким",False
Почему его сейчас не рассмотреть? Как программисту мне бы с ним было удобнее работать. Стили написать тоже не сложно.,False
"Потому что у меня другая задача, для которой мне визуал mermaid не нравится",False
"Я бы сказал, что качество ответа на, скажем, русском, практически одинаково — что спрашивать на английском и просить ответить на русском, что спрашивать на русском сразу. Если вам в качестве ответа нужен текст на другом языке, разницы никакой.nНо, если вам важно содержание, а не форма и язык ответа, то лучше спросить на английском — разница будет как между статьей про что-то американское из англоязычной википедии и русскоязычной.",False
о уже таргет на айтишников пошел,False
"Возможно стоит как-то более явно обозначить стартовую ячейку. Ну и любой из вопросов подразумевает да и нет, но на fear of devops можно ответить только да 🫣",False
Вспоминается интернет 90х 😂,False
"Ну я просто помню эти странички, которые в ворде делались с помощью 3D-текста. Эх, ностальгия…",False
Было время,False
А в 2000х поверх этой странички запускали снежинки в декабре :),False
"Кстати, вот стало интересно, если современного фронтэндера попросить сделать снег на странице, то как он будет это делать?",False
Будет искать готовый компонент в реакте,False
Всё div'ами. Каждую снежинку!,False
"Просто имаджами, их же тоже можно отпозициаонировать как угодно",False
Я проверил. Они на CSS делают. :-/ Я так не умею.,False
"Спасибо, не заметил 🙂 Но получилось правдоподобно",False
"Один из вариантов, да. Можно ещё на canvas, на js.",False
"Ну просто когда я делал это на js, тогда ещё css можно сказать и не было. :)",False
А как сочетается fear of vendor-lock и lambda? 👀,False
а где начало у этого маршрута?,False
"Опечатка, поправил уже",False
Хорошее замечание по добавлю,False
"ребят, кто пользуется протоколом openvpn, не наблюдаете сегодня падение скорости?",False
почему страх вендорлока ведет к лямбде?,False
ну может он уже двух разрабов и лида за жопу покусал,False
Там просто нет варианта no,False
Надеюсь мне в работе не придется не похожие схемы смотреть,False
"потому что куда no, если no, то значит врешь себе",False
"Не ну правда, или ты не боишься что за жопу девопёс покусает?",False
“MVP” и “Fear of vendor lock-in” одного цвета — как-то выбивается из общей концепции радости цвета этой схемы)),False
"Я бы порекомендовал вам вообще убрать цвета с этой схемы. Ну или оставить 2-3 цвета максимум, если очень хочется и чтобы они хоть что-то значили в рамках логики",False
"Ну и что выше писали: вообще непонятно, где там начало",False
"Начало будет, спасибо) Вышел из-за компуктера",False
Коричневым надо?),False
"А что значат ваши цвета? Это ваши ассоциации с тем, что в ромбике?",False
типа страх что придется заниматься operations задачами?,False
человека?),False
"придёт бородатый, страшный, немытый. Как не испугаться",False
разве их не избежать в любом случае? что с монолитом. что с лямбдами придется код как-то доставлять до продакшена.,False
Объем работ разный,False
"не совсем тот случай, но говорят теперь надо челообитные в РКН подавать...nhttps://t.me/mikrotik_sensei/554",False
Только походу не все стрелочки правильно понял),False
я его как OCR использу,False
"Ого, круто!",False
да в общем никакой разницы,False
А где точка входа?,False
или тут https://dreampuf.github.io/GraphvizOnline,False
Третий :)nГде MVP. Добавлю,False
"openvpn в целом не быстрый, если есть возможность попробуй wireguard",False
они со всех серверных узлов закрывают доступ,False
Инженер никогда вертикальный текст так не разместит,False
Набросай в excalidraw :),False
Так это как?,False
"Вертикальный текст пишется снизу вверх. Чтоб когда поворочиваешь чертеж по часовой на 90 градусов, он должен чиьаться нормально",False
Принимается,False
"ркн идет нахуй и навсегда, shadowsocks поднимем",False
"да, он есть, но тоже некоторые провайдеры начинают блочить",False
C4 нечетаемо. весь смысл mermaid чтобы читать диаграмму в тексте.,False
Все норм работает,False
Почем пиксель покупал?,False
Ведро нужно было. Я же на Айфоне мучаюсь,False
"Мне нужны приложения с другого региона, и захламлять свой основной не хочется уведомлениями.",False
То есть у тебя пикселя 8 нет?,False
подскажите а чатГПТ у всех сейчас работает?,False
чет Cloudflare  ругается...,False
Апи не работает. Похоже много у кого https://community.openai.com/t/api-access-failed-showing-cloudflare-block-page/506015/16,False
"Они же даже покупку плюса отключили, т.к. после DevDay уложили систему на лопатки",False
Нечего всем подряд доступ давать. Только гос. организациям и аккредитованным организациям.,False
У меня API норм работает,False
"Привет, помогите определиться какой макбук купить. Дано: отсутствие какого либо мака. Желание: взять 14 pro, что был актуален года 4-5. Цели: использовать как основной комп, кодить если придется рабочие проекты. nnПроблема: мне доступны только основные модели 16(18gb), 512Gb/1Tb. Не могу определиться лучше M2 16/1Tb (2900 €) или M3 18/512Gb (2600 €). Или стоит поднажать и взять M3 18/1Tb (3100 €)(вроде  один тб был быстрее). Напрягает что в М3 поменялось отношение производительных ядер к другим.",False
"Судя по недавнему опросу тебя сейчас жестко объяснят, что 16ГБ хватит, чтобы в браузере сидеть",False
А для работы нужно 128 минимум,False
Зачем тебе 128 на маке?),False
"работаю с 32гб, перекладываю джсоны на го, никогда не упирался в память",False
Я бы наверное менял каждый год на новый. А между м2-м3 же вроде не сильно заметная разница?,False
Менять каждый год это надо быть очень богатым),False
"Не, продаешь свой (-20% или -30% от стоимости) и берешь новый",False
"Извиняюсь, что ввел в заблуждение. Я говорю не про себя, а мое сообщение просто шутка, отсылающая к последнему выпуску и проведенному опросу, в котором подавляющее большинство говорят, что норм память начинается от 32 и выше.",False
Сам я не на маке с 24 ГБ сижу,False
Хотя тоже думаю переходить на М3 с 16 гигами,False
Там же вроде от 18гб?,False
Привычка говорить 16,False
"лучше брать на терабайт, потому что место на диске понадобится под своп. И чтобы было куда отработавшие секторы сгружать.nnИ М2, и М3 в течение пяти лет будут актуальны",False
"Еще не успел в эту парадигму полностью войти, где существуют ноуты со степенью двойки + 2",False
Разве так много нужно для свопа? Стоит ли разница 700 евро между 512 и 1Tb?,False
семьсот? вроде в районе 200-300 всегда было,False
У меня доступ к таким ценам,False
"М3 512 gb - 2600 €, M3 1Tb - 3100 €",False
"500 евро, все равно многовато, но я и сам в такой ситуации",False
А сколько у тебя сейчас хранилище?,False
"512, большая часть фоток на выносных дисках",False
Да вроде да,False
"Ну если не планируешь с большими объемами работать в ближайшее время, то и не стоит переплачивать",False
а там память одинаковая? выглядит как апгрейд рама и ссд одновременно. На apple.de +230 за каждую такую ступеньку берут,False
А можно такую же голосовалку для хранилища?),False
А 512гб версии все еще один чип памяти? Или уже u003e=2 ставят?,False
"По последней информации, в 512 ГБ версии используется один чип памяти.",False
"Хм, надо проверить. Я бы так сильно не доверял бы боту",False
"Вот это тоже вопрос, для себя решил если М2 то надо 1Tb брать чисто для скорости, а на М3 вроде решили этот вопрос и 512 тоже ок",False
"в m1 было 2 чипа на 512, а в m2 уже 1 и из-за этого заметно медленнее диск",False
"имхо я бы брал всегда 1Тб, а то за год работы нет-нет да засирается 512",False
А что про ядра и доступ к памяти между м2 и м3 скажите?,False
Должно быть также) В памяти никто прорывов не совершал за последнее время,False
Я тут какую то статью читал: https://www.macrumors.com/2023/10/31/apple-m3-pro-less-memory-bandwidth/ мол хуже сделали,False
"Эппл же не указывает количество чипов для хранилища, только скорость оперативки",False
"Ну вот техноблогер говорит, что если 512 ГБ, то там уже два чипа и bandwidth 3GB",False
"А сами эппл говорят, что на прошках с 512 гигами на борту лишь 1,5GB",False
"Так ладно, техноблогер чето вообще херню несет",False
Короче только не спецификации можно смотреть,False
Не могу на их сайте увидеть скорость для ssd накопителей,False
в спеце речь про скорость ssd разве?,False
"Да, ты прав не про ssd, напутал",False
"За ядра непонятно, очень расстраивает что они в m3 pro 6p/6e решили сделать. Но может быть всё не так плохо как воспринимается и чуть-чуть позже блогеры потестят разные виды нагрузки и расскажут на сколько действительно m3 стал бодрее",False
Ну пока Я все равно не понял что купить оптимальней :) м2 с 1Tb или м3 с 512 🤷‍♂️,False
Ну это самый дорогой вариант :) 3100,False
самый дорогой 7200,False
m2 от m3 отличается процентов на десять в процессорной мощности. А 512 от 1024 различается в два раза),False
"так что если не хочется space black, то выбор очевиден",False
m3 max от m2 max отличается на +40% в многопотоке),False
тут выбор между базовыми pro,False
Это где такое жлобство от Эпла? Не верю что за +512Gb будут 500 эвров просить.,False
"Поколение m3 от m2 по CPU отличается раза в два сильнее, чем m2 от m1. Там частоты сильно подняли.",False
"не в курсе что там по частотам, но m2 pro едва-едва (в районе 10%) медленнее и горячее, чем m3 pro согласно арстехнике. А транзисторов в новом и вовсе меньше)nnhttps://arstechnica.com/gadgets/2023/11/testing-apples-m3-pro-more-efficient-but-performance-is-a-step-sideways/amp/",False
"Этого из того же обзора розеткед, что выше скринили, где они для тех кто вообще ни в чем не хочет разбираться сделали табличку и она ну прям никакая.",False
"Если ничего не поменялось, то на 1ТБ чмпов памяти в 2 раза больше, т.е. она работаєт +- в 2 раза быстрее, а для свопа это уже важно.",False
дальле в pandas данные крутить,False
"что-то мне кажется, глубокий смысл в том, что кто-то защитпостил это, а половина датасаентистов поразносила это вот все по своим ноутбукам",False
"ну, в ChatGPT я и сам уже написал",False
это если не удалось вырваться из окружения детьми ? ),False
это кишки :),False
Вроде хороший и понятный ответ ),False
"вот-вот, у меня именно такое впечатление и складвается.nно, вдруг кто в жизни сталкивался, где без этого подхода не работает?",False
ну я  так и сказала )),False
но это не его же ?,False
"что за ситуация такая может сложиться, где нам этот подход может понадобится?nвозможно, если парсим динамическую страницу, но тогда и в url не ссылка на .csv файл, так что такое себеnnно вдруг все же в этом есть смысл. nу меня опыта малова-то",False
"Его :) Я же не просто так кинул , так как я внутрянку видел и щупал",False
идея как и с любым другим эвейтом: не ждать пока загрузится. Вест остальной эвейт код может пока работать. П — перформанс,False
Это совсем не так. Сверху есть ограничение шины и все зависит от того - какую скорость на каких операциях может 1 чип выдавать.,False
"Да, и вот тут как раз непонимание, если дальше мы крутим данные в pandas, а пока какой в этом смысл, если пока они не загрузились всё-равно ничего не сделать?",False
каеф! очень интересно! а работаешь с ними или просто мимо проходил? ),False
мимо крокодил,False
"если у тебя нет другого эвейт кода — смысла нет. А если у тебя пул параллельных тасок, каждая из которых ходит по своему урлу за своей табличкой, то все загрузки будут происходить в параллель. Мульти-трединг для бедных",False
"Дельно, спасибо",False
ну все равно здорово! я вот буду работу искать может посмотрю даже какие у них вакахи есть там ) вдруг что для меня будет),False
но ведь можно pd.read_csv пуститиь так же в асинк...,False
"«параллель» в кавычках правильнее, потому что await — это на самом деле на одном треде (точнее скедулере). Он просто может во время await вызова перескочить к соседним таскам, которые разблокировались. Но никогда не исполняет таски в истинном параллелизме. Поэтому и «для бедных»",False
"А кто-то знает более менее нормальный аналог пандас, который может многопоточно CSV загружать?",False
"Боюсь представить, чем пандас не подходит",False
"У пандас есть асинк чтение csv? Я хз, мало ими пользовался. Но в любом случае выигрыш наступает только если есть пул, на одной таске это физически невозможно",False
"М3 18, если поднапрягаться то по памяти, а не по жесткому диску.",False
"эм, если питон, то это десяток строк кода (что асинком, что мультитредом). Так что вряд ли кто-то сделал из этого библиотеку (ибо смысл?)",False
"Тем, что он однопоточный.",False
"не, завернуть в асинк, что бы полчить анблок. просто async def -u003e await, не?",False
Десяток строчек кода для чего? Для многопоточной загрузки и парсинга CSV или для join?,False
"Анблок чего? Тот код, который был в оригинальном примере — в вакууме. Если нет других авейтов, то нечего их и городить",False
"да, я про ситуации, когда нужен анблок чего-то еще, а не про кусок того кода",False
"для многопоточной загрузки, да. А дальше сила панд вступает, когда джоин будешь делать (если я тебя правильно понял)",False
А как можно в несколько строчек сделать многопоточную загрузку CSV?,False
"да, дальше там нет никаких авейтов",False
"Не знаю, насколько можно ускорить перформанс, но можно воспользоваться pyarrow или polars",False
"в этом случае может сработать. Но я не большой знаток пандас, может там GIL всю малину испортит🤷🏼‍♂️",False
вот там await пример выше. Осталось только подключить пул тасок. Зависит от версии интепретатора как это красивее сделать,False
"да, полас прикольные, юзал их в одном проекте",False
"Речь о том, что есть 1 CSV на 10-15-20Гб и вот как с помощью пандас его загрузить многопоточно.",False
"хехе, ну это уже совсем другая история)",False
"так загрузка csv это ещё не pandas...nвот обработка его потом, когда загрузится 🙄",False
Надо распараллелить вот это pd.read_csv(text) . Обработка в пандасе кстати тоже вроде вся однопоточная.,False
"правильно я понимаю, что это крутится на подходящей машине, которая может держать таблицы в 10-20 Гб в памяти?",False
Файл уже считай в памяти лежит. Под загрузкой понимается - парсинг и т.д. в общем - создание таблицы в памяти.,False
Конечно. Там многократно больше памяти.,False
"Вот и Я этого боюсь, но не нашел точного : «512 gb m3 работает так же быстро в плане диска как и м2 1tb” если есть точно подтверждение, поделитесь пожалуйста",False
"окей, понятно. Ну тут вряд ли есть много вариантов. Попробуй сравнить с polars, она лучше хотя бы потому что написана на расте 😅nnя пробовал её, кажется стабильно быстрее пандас",False
"Я пробовал вроде Modin через Dask и Ray. И Dask вроде отдельно и еще что-то. И всё - ну такое себе.nnТут вопрос не в языке, а где реализован алгоритм многопоточного чтения. Ну т.к. там все не так просто - надо файл делить на части и обрабатывать независимо, а с CSV это возможно но не так просто.",False
Тут м3 нету :(,False
"Вот это хоть что-то, спасибо",False
Слабенький обзорчик. Взяли странный набор моделей и что-то как-то посравнивали.,False
"Тоже так показалось, но все равно спасибо",False
"Вообще ты не туда смотришь. Я бы сначала смотрел в сторону 32Гб оперативки даже с M2/512Гб. А уже потом все остальное. Скорость SSD важна только для свопа, для остального разница между 3Гб/с и 5Гб/с очень редко когда вообще хоть как-то заметна.nnКогда оперативки не хватает - там может быть провал и в 2 и в 3 раза и в 20 раз и в 30 раз. Тот же условный 10Гб CSV парсится пускай 100с и потом в памяти занимает 30-50Гб. И тут не важно за сколько он вычитается с диска за 2с или за 4с, т.к. на фоне 100с - это ни о чем. И 100с на парсинг - это если есть 40Гб свободной оперативки иначе сильно дольше будет. А уж если потом захочется его покрутить как-то и он не помещается в память, то там может все встать раком и вообще ничего не дождаться будет.",False
"Я последний раз вообще подумал, а нафиг мне ноут и купил студио почти по цене эира15 и сейчас когда неожиданно у меня там бежит докер очень рад этому выбору.",False
а как же забраться с ноутом в кресло под плед?,False
"Да вот так же думал, но Как-то последние лет 5 так не делаю, но если очень захочется у жены возьму ее айрм1 и по рдп все сделаю",False
Переоценено),False
"Привет, Народ!nУ кого кроме меня в России (через VPN) перестал работать Chat GPT последние 2-3 дня?nГоворит что страна неподходящая",False
Страна конечно Нидерланды,False
"периодически перестаёт, видимо, когда адрес слишком популярен становится",False
"Адрес, всмысле IP адрес сервака на котором стоит VPN сервер? Пробовал 2 VPS от разных хостеров - результат один.",False
Через протон работает,False
"непосредственно из Амстердама работает, рубят vpn'ы похоже",False
@umputun С Днём рождения!,False
@umputun присоединяюсь к поздравлению. С днем рождения обладателя самого бархатного баса русскоязычных подкастов,False
"@umputun Счастья, Здоровья!",False
"Дело было не в бабине, и не в кабине. Судя по всему Опениайщики режут некоторые, подозрительные IP шники с которых, потенциально ходят или могут ходить из России.",False
"У меня тоже на своём vpn не пускает авторизоваться, но после аавторизации, например через adguard, дальше можно через свой подключаться",False
Товарищи из рф которые только апи использовали (раньше апи не блокировалось) сообщают что все уходит в 403,False
"Хм, у меня через Свой выдаёт ошибку  про Коунтри (скриншот выше), именно когда ввёл логин и пароль (или попытался авторизоваться через Google) то есть не авторизовывает.nnТо есть даёт Главную, даёт Форму ввода логина и пароля, а внутрь не пускает. adGuard он типа все куки режит и прочую не нужные сведения из браузер? Или IP подменяет?",False
"Про adguard не знаю, но когда у меня такое со своим Outline началось, я стал заходить через любой впн, а пользоваться через свой",False
"Есть такое, что отлуп бывает только в момент логина. Потом - норм.",False
"Так неудобно же, локти на весу и вот это вот всё",False
"А поал, попробую так",False
напомните чат радиота где треш и угар,False
https://t.me/+2x7o6kvpLPw2ZGYy,False
"хмммм, а кто-то думал использовать клавиатуру для атаки?nНу, на базе GMK можна же такого наворотить...nснифер клавиш, потом каким-то образом отследить бездействие и запустить eval скрипта, которьій скачает и запустит dropper ))nВозможно под снифер мало памяти но можна и прокачать ее )nnВот так подарил кому-то клавиатуру, а потом бум )))nnВот так @umputun заинжектил шпийона в Meta передав клавиатуру ))))",False
Надо просто клаву дарить не на GMK а на чем-то более серьезном. Питание 2.5Вт будет - антенку распаять на плате и можно передавать на несколько км данные.,False
"Хз, там кроме клавиатуры ж ещё ставят приемник для карточек и он торчит",False
Наверно там больше про этот приемник,False
Так вроде это в прошлом. Карты чипованые - считывать полоску уже смысла нет. Да и в Мск большинство терминалов уже с NFC и можно через трубку авторизовываться. Ну или если айфон - через QR и камеру.,False
"Ну да, это уже история",False
"Еще забавно бьіло з Ledger кошельками )nих похечили, можно прошивку кастомную заливать, компания не признала проблемьі ))nУ меня сразу в голове идея:nпокупаєм пачку на амазоне, патчим и возвращаєм назад, когда-то кто-то их купит ))))",False
"пользуюсь с маком м1, никаких проблем. nnПервый конект замечаешь (когда физически переключатель выкл).nА в остальное время, все шустро.",False
"надо делать скидку на то, что это один из первых обзоров, когда конфигов мало. Ну и это арстехника, а не «очередной блоггер с ютьюба»)",False
"Коллеги, кто работал с Pkcs? Такой вопрос, существует ли какой граф, который показывает, в каком состоянии должна быть система-токен.  Чтобы проводить действия, например, чтобы совершить подпись: нужно ли генерировать ключи, а если ключи уже сгенерированы, можно ли их перегенерировать? В идеале конечно хотелось бы видеть конечный автомат. Но я боюсь, у каждого производителя могут быть свои нюансы...",False
"Да все равно слабый. Надо было нормально рассмотреть производительность 1T - сколько потребление, сколько попугаев, сколько попугаев на ватт. И тут вот прирост большой - если у второго был прирост 8-9% к первому, то тут реально +28% к первому в попугаях.nnА в МТ - не все однозначно. У первого были конфиги 4+4/6+2/8+2. У второго 4+4/8+4/10+4. Сейчас 4+4/5+6/6+6/10+4/12+4.nnНу т.е. вот проиpводительность m3 max vs m2 max выросла очень сильно, т.к. ядер доложили. Поэтому теперь если нужен CPU, то имеет смысл уже и на max смотреть.",False
